,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
4,6130,100,MAC Court (Cardio),0,0,2021-11-19T23:18:50.513,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
5,7289,50,MAC (badminton),0,0,2021-11-19T23:18:50.89,6,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
6,6158,100,West Mezzanine (3rd Floor),0,0,2021-11-19T23:18:51.28,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
7,5984,100,Atrium Track (3rd Floor),0,0,2021-11-19T23:18:51.747,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
8,6157,100,East Mezzanine (3rd Floor),0,0,2021-11-19T23:18:52.14,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
9,5988,50,Mindfulness Room ,0,0,2021-11-19T23:18:52.53,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
10,5991,200,Racquetball/Squash Courts ,0,0,2021-11-19T23:18:52.92,7,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
11,7292,100,Fitness Pavilion (strength),0,0,2021-11-19T23:18:53.857,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
12,7293,100,Fitness Pavilion (cardio),0,0,2021-11-19T23:18:54.263,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
13,5981,100,Fitness Loft,0,0,2021-11-19T23:18:54.67,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
14,5979,100,Feature Gym,0,0,2021-11-19T23:18:55.043,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
15,5960,300,B&G Gym 1-3,0,0,2021-10-21T20:30:24.72,0,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637406302.8716605
16,5961,300,B&G Gym 4-6,0,0,2021-11-19T16:11:50.517,2,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637406302.8716605
